Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes,Home_Win
Sat Nov 27 2010,7:30p,Memphis Grizzlies,86,Cleveland Cavaliers,92,Box Score,,20562,,1
Sat Nov 27 2010,7:30p,New Jersey Nets,86,Philadelphia 76ers,102,Box Score,,14150,,1
Sat Nov 27 2010,8:00p,Golden State Warriors,104,Minnesota Timberwolves,94,Box Score,,14440,,0
Sat Nov 27 2010,8:30p,Miami Heat,95,Dallas Mavericks,106,Box Score,,20536,,1
Sat Nov 27 2010,9:00p,Charlotte Bobcats,101,Milwaukee Bucks,104,Box Score,,15213,,1
Sat Nov 27 2010,10:00p,Chicago Bulls,96,Sacramento Kings,85,Box Score,,13504,,0
Sun Nov 28 2010,1:00p,Atlanta Hawks,96,Toronto Raptors,78,Box Score,,17302,,0
Sun Nov 28 2010,1:30p,New York Knicks,125,Detroit Pistons,116,Box Score,2OT,16015,,0
Sun Nov 28 2010,3:00p,San Antonio Spurs,109,New Orleans Hornets,95,Box Score,,12449,,0
Sun Nov 28 2010,3:30p,Utah Jazz,109,Los Angeles Clippers,97,Box Score,,17085,,0
Sun Nov 28 2010,7:00p,Oklahoma City Thunder,98,Houston Rockets,99,Box Score,,15316,,1
Sun Nov 28 2010,7:00p,Portland Trail Blazers,96,New Jersey Nets,98,Box Score,,11448,,1
Sun Nov 28 2010,8:00p,Phoenix Suns,133,Denver Nuggets,138,Box Score,,15482,,1
Sun Nov 28 2010,9:30p,Indiana Pacers,95,Los Angeles Lakers,92,Box Score,,18997,,0
Mon Nov 29 2010,7:30p,Washington Wizards,94,Miami Heat,105,Box Score,,19600,,1
Mon Nov 29 2010,8:00p,New Orleans Hornets,89,Oklahoma City Thunder,95,Box Score,,18203,,1
Mon Nov 29 2010,8:30p,Houston Rockets,91,Dallas Mavericks,101,Box Score,,19435,,1
Mon Nov 29 2010,9:00p,Milwaukee Bucks,88,Utah Jazz,109,Box Score,,18497,,1
Tue Nov 30 2010,7:00p,Boston Celtics,106,Cleveland Cavaliers,87,Box Score,,20562,,0
Tue Nov 30 2010,7:00p,Detroit Pistons,79,Orlando Magic,90,Box Score,,18846,,1
Tue Nov 30 2010,7:00p,Portland Trail Blazers,79,Philadelphia 76ers,88,Box Score,,13556,,1
Tue Nov 30 2010,7:30p,New Jersey Nets,100,New York Knicks,111,Box Score,,19763,,1
Tue Nov 30 2010,8:00p,Los Angeles Lakers,96,Memphis Grizzlies,98,Box Score,,17638,,1
Tue Nov 30 2010,10:00p,Indiana Pacers,107,Sacramento Kings,98,Box Score,,10927,,0
Tue Nov 30 2010,10:30p,San Antonio Spurs,118,Golden State Warriors,98,Box Score,,17877,,0
Wed Dec 1 2010,7:00p,Memphis Grizzlies,109,Atlanta Hawks,112,Box Score,,11513,,1
